Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.861294e+00   6.199284e-02
  1.819169e-01   5.897423e+00   6.026389e-02
  1.870635e-01   5.828332e+00   5.889146e-02
  1.922101e-01   5.753468e+00   5.655099e-02
  1.973566e-01   5.781048e+00   5.520835e-02
  2.025032e-01   5.772014e+00   5.379104e-02
  2.076498e-01   5.770463e+00   5.286606e-02
  2.127963e-01   5.716326e+00   5.170481e-02
  2.179429e-01   5.693473e+00   4.978286e-02
  2.230895e-01   5.734711e+00   4.883647e-02
  2.282360e-01   5.581604e+00   4.795859e-02
  2.333826e-01   5.564936e+00   4.692716e-02
  2.385292e-01   5.565213e+00   4.627032e-02
  2.436758e-01   5.638482e+00   4.519428e-02
  2.488223e-01   5.498234e+00   4.433806e-02
  2.539689e-01   5.455716e+00   4.338703e-02
  2.591155e-01   5.518849e+00   4.301345e-02
  2.642620e-01   5.420203e+00   4.191391e-02
  2.694086e-01   5.523597e+00   4.130798e-02
  2.745552e-01   5.388402e+00   4.058970e-02
  2.797018e-01   5.427879e+00   4.011908e-02
  2.848483e-01   5.426522e+00   3.955318e-02
  2.899949e-01   5.370633e+00   3.942913e-02
  2.951415e-01   5.297732e+00   3.987446e-02
  3.002880e-01   5.367314e+00   3.991765e-02
  3.054346e-01   5.252479e+00   3.980140e-02
  3.105812e-01   5.294392e+00   3.971508e-02
  3.157277e-01   5.175242e+00   3.935936e-02
  3.208743e-01   5.225173e+00   3.889077e-02
  3.260209e-01   5.174701e+00   3.910875e-02
  3.311675e-01   5.127950e+00   3.878947e-02
  3.363140e-01   5.042878e+00   3.879910e-02
  3.414606e-01   5.116259e+00   3.855312e-02
  3.466072e-01   4.977362e+00   3.810374e-02
  3.517537e-01   5.043205e+00   3.791268e-02
  3.569003e-01   4.961543e+00   3.698189e-02
  3.620469e-01   4.946680e+00   3.589191e-02
  3.671934e-01   4.933391e+00   3.524409e-02
  3.723400e-01   4.886980e+00   3.513043e-02
  3.774866e-01   4.821904e+00   3.442218e-02
  3.826332e-01   4.807988e+00   3.390071e-02
  3.877797e-01   4.743646e+00   3.370443e-02
  3.929263e-01   4.802375e+00   3.318968e-02
  3.980729e-01   4.673606e+00   3.272487e-02
  4.032194e-01   4.749453e+00   3.251384e-02
  4.083660e-01   4.652867e+00   3.176156e-02
  4.135126e-01   4.648464e+00   3.163099e-02
  4.186592e-01   4.624175e+00   3.151081e-02
  4.238057e-01   4.580652e+00   3.093844e-02
  4.289523e-01   4.565778e+00   3.066912e-02
  4.340989e-01   4.556588e+00   3.052788e-02
  4.392454e-01   4.485621e+00   3.026281e-02
  4.443920e-01   4.415271e+00   2.987780e-02
  4.495386e-01   4.414735e+00   2.965239e-02
  4.546851e-01   4.417496e+00   2.929232e-02
  4.598317e-01   4.393469e+00   2.911740e-02
  4.649783e-01   4.290988e+00   2.910082e-02
  4.701249e-01   4.308369e+00   2.940647e-02
  4.752714e-01   4.260087e+00   2.936437e-02
  4.804180e-01   4.238129e+00   2.965294e-02
  4.855646e-01   4.232861e+00   2.940994e-02
  4.907111e-01   4.197787e+00   2.956334e-02
  4.958577e-01   4.177827e+00   2.949818e-02
  5.010043e-01   4.142433e+00   2.946576e-02
  5.061509e-01   4.016584e+00   2.938987e-02
  5.112974e-01   4.074964e+00   2.973059e-02
  5.164440e-01   4.011247e+00   2.923339e-02
  5.215906e-01   3.977636e+00   2.918865e-02
  5.267371e-01   3.946530e+00   2.912179e-02
  5.318837e-01   3.891452e+00   2.901179e-02
  5.370303e-01   3.893364e+00   2.803937e-02
  5.421768e-01   3.868952e+00   2.785091e-02
  5.473234e-01   3.841071e+00   2.757441e-02
  5.524700e-01   3.791632e+00   2.702064e-02
  5.576166e-01   3.764977e+00   2.697860e-02
  5.627631e-01   3.740195e+00   2.670209e-02
  5.679097e-01   3.698548e+00   2.628687e-02
  5.730563e-01   3.714749e+00   2.619990e-02
  5.782028e-01   3.637915e+00   2.597965e-02
  5.833494e-01   3.586032e+00   2.556231e-02
  5.884960e-01   3.571286e+00   2.556154e-02
  5.936426e-01   3.521617e+00   2.555636e-02
  5.987891e-01   3.528004e+00   2.504135e-02
  6.039357e-01   3.517368e+00   2.506851e-02
  6.090823e-01   3.478520e+00   2.489245e-02
  6.142288e-01   3.447544e+00   2.457403e-02
  6.193754e-01   3.358446e+00   2.439316e-02
  6.245220e-01   3.372093e+00   2.432998e-02
  6.296685e-01   3.376455e+00   2.409664e-02
  6.348151e-01   3.318529e+00   2.408110e-02
  6.399617e-01   3.307179e+00   2.399606e-02
  6.451083e-01   3.258997e+00   2.364664e-02
  6.502548e-01   3.220857e+00   2.350550e-02
  6.554014e-01   3.195327e+00   2.343558e-02
  6.605480e-01   3.185708e+00   2.339667e-02
  6.656945e-01   3.109213e+00   2.365892e-02
