Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.912966e+00   7.608150e-02
  1.819169e-01   5.832631e+00   7.351174e-02
  1.870635e-01   5.856690e+00   7.189040e-02
  1.922101e-01   5.806272e+00   6.911418e-02
  1.973566e-01   5.851410e+00   6.728971e-02
  2.025032e-01   5.910004e+00   6.542332e-02
  2.076498e-01   5.756025e+00   6.418607e-02
  2.127963e-01   5.814768e+00   6.293422e-02
  2.179429e-01   5.660067e+00   6.032381e-02
  2.230895e-01   5.556885e+00   5.898940e-02
  2.282360e-01   5.625963e+00   5.812586e-02
  2.333826e-01   5.626934e+00   5.688374e-02
  2.385292e-01   5.634613e+00   5.604333e-02
  2.436758e-01   5.595265e+00   5.460258e-02
  2.488223e-01   5.566539e+00   5.363690e-02
  2.539689e-01   5.523892e+00   5.258907e-02
  2.591155e-01   5.519079e+00   5.179249e-02
  2.642620e-01   5.472648e+00   5.055054e-02
  2.694086e-01   5.492555e+00   4.968852e-02
  2.745552e-01   5.380355e+00   4.887443e-02
  2.797018e-01   5.369638e+00   4.815582e-02
  2.848483e-01   5.402058e+00   4.752593e-02
  2.899949e-01   5.339330e+00   4.738418e-02
  2.951415e-01   5.275855e+00   4.788644e-02
  3.002880e-01   5.348021e+00   4.801556e-02
  3.054346e-01   5.270958e+00   4.781707e-02
  3.105812e-01   5.238896e+00   4.760834e-02
  3.157277e-01   5.179930e+00   4.726643e-02
  3.208743e-01   5.200087e+00   4.674375e-02
  3.260209e-01   5.187455e+00   4.700227e-02
  3.311675e-01   5.120363e+00   4.661082e-02
  3.363140e-01   5.068102e+00   4.669867e-02
  3.414606e-01   5.082519e+00   4.631223e-02
  3.466072e-01   5.019364e+00   4.578868e-02
  3.517537e-01   5.049642e+00   4.553488e-02
  3.569003e-01   4.980920e+00   4.445416e-02
  3.620469e-01   4.971470e+00   4.312762e-02
  3.671934e-01   4.903779e+00   4.230299e-02
  3.723400e-01   4.876291e+00   4.216046e-02
  3.774866e-01   4.795001e+00   4.134524e-02
  3.826332e-01   4.753381e+00   4.067528e-02
  3.877797e-01   4.818155e+00   4.061984e-02
  3.929263e-01   4.741822e+00   3.980974e-02
  3.980729e-01   4.647887e+00   3.934872e-02
  4.032194e-01   4.716394e+00   3.908896e-02
  4.083660e-01   4.687744e+00   3.825006e-02
  4.135126e-01   4.637237e+00   3.798670e-02
  4.186592e-01   4.580608e+00   3.789999e-02
  4.238057e-01   4.644851e+00   3.729684e-02
  4.289523e-01   4.570331e+00   3.694322e-02
  4.340989e-01   4.494765e+00   3.667528e-02
  4.392454e-01   4.508031e+00   3.643788e-02
  4.443920e-01   4.455502e+00   3.606123e-02
  4.495386e-01   4.474933e+00   3.574645e-02
  4.546851e-01   4.419596e+00   3.521201e-02
  4.598317e-01   4.351070e+00   3.502207e-02
  4.649783e-01   4.387818e+00   3.516173e-02
  4.701249e-01   4.252632e+00   3.536857e-02
  4.752714e-01   4.251237e+00   3.539792e-02
  4.804180e-01   4.317674e+00   3.582378e-02
  4.855646e-01   4.160184e+00   3.541510e-02
  4.907111e-01   4.221233e+00   3.562891e-02
  4.958577e-01   4.174885e+00   3.560975e-02
  5.010043e-01   4.129023e+00   3.550949e-02
  5.061509e-01   4.018758e+00   3.549145e-02
  5.112974e-01   4.087166e+00   3.591657e-02
  5.164440e-01   4.008023e+00   3.531858e-02
  5.215906e-01   3.939607e+00   3.520175e-02
  5.267371e-01   4.015910e+00   3.523525e-02
  5.318837e-01   3.921521e+00   3.511581e-02
  5.370303e-01   3.946926e+00   3.392572e-02
  5.421768e-01   3.897722e+00   3.368873e-02
  5.473234e-01   3.842240e+00   3.334040e-02
  5.524700e-01   3.815724e+00   3.271599e-02
  5.576166e-01   3.750444e+00   3.262994e-02
  5.627631e-01   3.782886e+00   3.233878e-02
  5.679097e-01   3.766256e+00   3.189703e-02
  5.730563e-01   3.709965e+00   3.169140e-02
  5.782028e-01   3.727065e+00   3.156488e-02
  5.833494e-01   3.605408e+00   3.100278e-02
  5.884960e-01   3.591066e+00   3.099874e-02
  5.936426e-01   3.516285e+00   3.095560e-02
  5.987891e-01   3.526126e+00   3.035158e-02
  6.039357e-01   3.504467e+00   3.035065e-02
  6.090823e-01   3.450432e+00   3.018443e-02
  6.142288e-01   3.452514e+00   2.978134e-02
  6.193754e-01   3.450477e+00   2.966807e-02
  6.245220e-01   3.390661e+00   2.955902e-02
  6.296685e-01   3.404381e+00   2.928895e-02
  6.348151e-01   3.305614e+00   2.920980e-02
  6.399617e-01   3.264757e+00   2.908379e-02
  6.451083e-01   3.240117e+00   2.870484e-02
  6.502548e-01   3.222057e+00   2.854747e-02
  6.554014e-01   3.138695e+00   2.844466e-02
  6.605480e-01   3.172841e+00   2.839572e-02
  6.656945e-01   3.079476e+00   2.874662e-02
  6.708411e-01   3.094943e+00   2.905988e-02
  6.759877e-01   3.043903e+00   2.892436e-02
  6.811343e-01   3.064917e+00   2.890521e-02
  6.862808e-01   3.055948e+00   2.894704e-02
  6.914274e-01   3.009585e+00   2.820724e-02
  6.965740e-01   2.976541e+00   2.786974e-02
  7.017205e-01   2.897380e+00   2.782244e-02
  7.068671e-01   2.904830e+00   2.748041e-02
  7.120137e-01   2.879737e+00   2.721610e-02
  7.171602e-01   2.857267e+00   2.723724e-02
  7.223068e-01   2.855285e+00   2.688119e-02
  7.274534e-01   2.765601e+00   2.665756e-02
  7.326000e-01   2.823489e+00   2.668377e-02
  7.377465e-01   2.741151e+00   2.624767e-02
  7.428931e-01   2.719413e+00   2.608382e-02
  7.480397e-01   2.629880e+00   2.598079e-02
  7.531862e-01   2.666616e+00   2.575394e-02
  7.583328e-01   2.645331e+00   2.575857e-02
  7.634794e-01   2.591622e+00   2.583139e-02
  7.686259e-01   2.571388e+00   2.556969e-02
  7.737725e-01   2.558242e+00   2.535270e-02
  7.789191e-01   2.508452e+00   2.543445e-02
  7.840657e-01   2.488203e+00   2.510943e-02
  7.892122e-01   2.485708e+00   2.499338e-02
  7.943588e-01   2.447679e+00   2.504418e-02
  7.995054e-01   2.419634e+00   2.478113e-02
  8.046519e-01   2.357328e+00   2.470182e-02
  8.097985e-01   2.332467e+00   2.468444e-02
  8.149451e-01   2.350723e+00   2.430505e-02
  8.200917e-01   2.282861e+00   2.427709e-02
  8.252382e-01   2.268865e+00   2.425398e-02
  8.303848e-01   2.239936e+00   2.392416e-02
  8.355314e-01   2.257463e+00   2.388017e-02
  8.406779e-01   2.220262e+00   2.379659e-02
  8.458245e-01   2.189178e+00   2.368455e-02
  8.509711e-01   2.206308e+00   2.363194e-02
  8.561176e-01   2.181600e+00   2.356898e-02
  8.612642e-01   2.111127e+00   2.346638e-02
  8.664108e-01   2.088844e+00   2.332371e-02
  8.715574e-01   2.088602e+00   2.335233e-02
  8.767039e-01   2.048232e+00   2.312198e-02
  8.818505e-01   1.986061e+00   2.301605e-02
  8.869971e-01   2.032641e+00   2.294352e-02
  8.921436e-01   1.987932e+00   2.301928e-02
  8.972902e-01   1.950260e+00   2.268475e-02
  9.024368e-01   1.932894e+00   2.280184e-02
  9.075834e-01   1.945564e+00   2.268303e-02
  9.127299e-01   1.898403e+00   2.242046e-02
  9.178765e-01   1.886543e+00   2.252541e-02
  9.230231e-01   1.841035e+00   2.290609e-02
  9.281696e-01   1.822678e+00   2.261803e-02
