Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   4.782173e+00   2.524218e-01
  1.819169e-01   5.204458e+00   2.430548e-01
  1.870635e-01   5.291041e+00   2.358095e-01
  1.922101e-01   5.203793e+00   2.271064e-01
  1.973566e-01   5.461569e+00   2.202076e-01
  2.025032e-01   5.893165e+00   2.133579e-01
  2.076498e-01   5.385013e+00   2.095759e-01
  2.127963e-01   5.096241e+00   2.039523e-01
  2.179429e-01   5.277492e+00   1.959242e-01
  2.230895e-01   4.949294e+00   1.915969e-01
  2.282360e-01   5.135736e+00   1.877148e-01
  2.333826e-01   5.399402e+00   1.834273e-01
  2.385292e-01   5.233535e+00   1.812713e-01
  2.436758e-01   4.970035e+00   1.753755e-01
  2.488223e-01   5.383700e+00   1.720957e-01
  2.539689e-01   5.307260e+00   1.686768e-01
  2.591155e-01   5.070042e+00   1.656538e-01
  2.642620e-01   5.103344e+00   1.614471e-01
  2.694086e-01   4.863479e+00   1.584456e-01
  2.745552e-01   4.894711e+00   1.560587e-01
  2.797018e-01   5.231238e+00   1.539214e-01
  2.848483e-01   5.037876e+00   1.512389e-01
  2.899949e-01   4.903242e+00   1.511444e-01
  2.951415e-01   5.138121e+00   1.523862e-01
  3.002880e-01   4.776612e+00   1.523489e-01
  3.054346e-01   5.169712e+00   1.522038e-01
  3.105812e-01   4.914574e+00   1.516208e-01
  3.157277e-01   4.827937e+00   1.509149e-01
  3.208743e-01   4.906622e+00   1.487460e-01
  3.260209e-01   4.869152e+00   1.493080e-01
  3.311675e-01   4.884036e+00   1.484032e-01
  3.363140e-01   5.082827e+00   1.488504e-01
  3.414606e-01   4.754240e+00   1.468929e-01
  3.466072e-01   4.595942e+00   1.456579e-01
  3.517537e-01   4.909287e+00   1.445671e-01
  3.569003e-01   4.621083e+00   1.414860e-01
  3.620469e-01   4.617696e+00   1.370210e-01
  3.671934e-01   4.640932e+00   1.347273e-01
  3.723400e-01   4.547266e+00   1.341654e-01
  3.774866e-01   4.619982e+00   1.318297e-01
  3.826332e-01   4.725198e+00   1.297464e-01
  3.877797e-01   4.525455e+00   1.294351e-01
  3.929263e-01   4.624778e+00   1.271551e-01
  3.980729e-01   4.563269e+00   1.260746e-01
  4.032194e-01   4.567850e+00   1.249550e-01
  4.083660e-01   4.673649e+00   1.220592e-01
  4.135126e-01   4.525182e+00   1.214717e-01
  4.186592e-01   4.315523e+00   1.210163e-01
  4.238057e-01   4.404406e+00   1.192907e-01
  4.289523e-01   4.312144e+00   1.180019e-01
  4.340989e-01   4.388470e+00   1.175196e-01
  4.392454e-01   4.425336e+00   1.169684e-01
  4.443920e-01   4.148215e+00   1.153942e-01
  4.495386e-01   4.340630e+00   1.147120e-01
  4.546851e-01   4.297564e+00   1.130189e-01
  4.598317e-01   4.346665e+00   1.127942e-01
  4.649783e-01   4.111383e+00   1.129278e-01
  4.701249e-01   4.299560e+00   1.138076e-01
  4.752714e-01   4.304514e+00   1.140483e-01
  4.804180e-01   4.085882e+00   1.151205e-01
  4.855646e-01   4.017758e+00   1.143760e-01
  4.907111e-01   4.110865e+00   1.148279e-01
  4.958577e-01   3.962647e+00   1.148080e-01
  5.010043e-01   3.963412e+00   1.145454e-01
  5.061509e-01   4.266170e+00   1.149412e-01
  5.112974e-01   4.138535e+00   1.161246e-01
  5.164440e-01   3.882871e+00   1.141404e-01
  5.215906e-01   4.004883e+00   1.141173e-01
  5.267371e-01   3.691920e+00   1.140442e-01
  5.318837e-01   3.414313e+00   1.138179e-01
  5.370303e-01   3.764867e+00   1.101470e-01
  5.421768e-01   3.755242e+00   1.091251e-01
  5.473234e-01   3.680276e+00   1.084098e-01
  5.524700e-01   3.625888e+00   1.064392e-01
  5.576166e-01   3.711935e+00   1.062674e-01
  5.627631e-01   3.552473e+00   1.051743e-01
  5.679097e-01   3.860799e+00   1.038455e-01
  5.730563e-01   3.694193e+00   1.033773e-01
  5.782028e-01   3.396742e+00   1.028318e-01
  5.833494e-01   3.722350e+00   1.013071e-01
  5.884960e-01   3.869525e+00   1.013029e-01
  5.936426e-01   3.660030e+00   1.014389e-01
  5.987891e-01   3.534494e+00   9.939268e-02
  6.039357e-01   3.535857e+00   9.947572e-02
  6.090823e-01   3.482619e+00   9.909631e-02
  6.142288e-01   3.299075e+00   9.765035e-02
  6.193754e-01   3.379392e+00   9.729532e-02
  6.245220e-01   3.288289e+00   9.704359e-02
  6.296685e-01   3.400004e+00   9.631401e-02
  6.348151e-01   3.363272e+00   9.632552e-02
  6.399617e-01   3.368913e+00   9.599380e-02
  6.451083e-01   3.128034e+00   9.487416e-02
  6.502548e-01   3.422442e+00   9.433890e-02
  6.554014e-01   3.249038e+00   9.398236e-02
  6.605480e-01   3.143248e+00   9.379335e-02
  6.656945e-01   3.182088e+00   9.522505e-02
  6.708411e-01   3.145664e+00   9.624022e-02
  6.759877e-01   3.289212e+00   9.585422e-02
  6.811343e-01   3.146313e+00   9.576104e-02
  6.862808e-01   3.018112e+00   9.592372e-02
  6.914274e-01   3.047514e+00   9.367682e-02
  6.965740e-01   3.051615e+00   9.265597e-02
  7.017205e-01   3.000659e+00   9.257693e-02
  7.068671e-01   2.977894e+00   9.136359e-02
  7.120137e-01   2.863512e+00   9.056779e-02
  7.171602e-01   3.004826e+00   9.088097e-02
  7.223068e-01   2.859213e+00   8.970499e-02
