Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.628680e+00   9.387409e-02
  1.819169e-01   5.700810e+00   9.088436e-02
  1.870635e-01   5.769342e+00   8.888649e-02
  1.922101e-01   5.674875e+00   8.535400e-02
  1.973566e-01   5.541567e+00   8.276468e-02
  2.025032e-01   5.796840e+00   8.087730e-02
  2.076498e-01   5.719516e+00   7.932267e-02
  2.127963e-01   5.510274e+00   7.732691e-02
  2.179429e-01   5.746834e+00   7.466696e-02
  2.230895e-01   5.486680e+00   7.274633e-02
  2.282360e-01   5.474933e+00   7.145373e-02
  2.333826e-01   5.525688e+00   7.013912e-02
  2.385292e-01   5.551255e+00   6.916445e-02
  2.436758e-01   5.467565e+00   6.726289e-02
  2.488223e-01   5.576727e+00   6.625945e-02
  2.539689e-01   5.426713e+00   6.470680e-02
  2.591155e-01   5.547568e+00   6.391801e-02
  2.642620e-01   5.406558e+00   6.233035e-02
  2.694086e-01   5.266625e+00   6.098543e-02
  2.745552e-01   5.262943e+00   6.016853e-02
  2.797018e-01   5.302981e+00   5.935125e-02
  2.848483e-01   5.393877e+00   5.852985e-02
  2.899949e-01   5.193726e+00   5.831233e-02
  2.951415e-01   5.286096e+00   5.912870e-02
  3.002880e-01   5.067115e+00   5.881061e-02
  3.054346e-01   5.184756e+00   5.886386e-02
  3.105812e-01   5.203523e+00   5.859510e-02
  3.157277e-01   5.172642e+00   5.837391e-02
  3.208743e-01   5.143491e+00   5.759802e-02
  3.260209e-01   5.085609e+00   5.786737e-02
  3.311675e-01   5.076074e+00   5.740674e-02
  3.363140e-01   4.985994e+00   5.743277e-02
  3.414606e-01   4.894656e+00   5.686205e-02
  3.466072e-01   5.104314e+00   5.655301e-02
  3.517537e-01   4.859835e+00   5.589588e-02
  3.569003e-01   4.951815e+00   5.472728e-02
  3.620469e-01   4.835691e+00   5.296012e-02
  3.671934e-01   4.795471e+00   5.206438e-02
  3.723400e-01   4.830762e+00   5.195891e-02
  3.774866e-01   4.771329e+00   5.094187e-02
  3.826332e-01   4.720643e+00   5.012865e-02
  3.877797e-01   4.753516e+00   4.999674e-02
  3.929263e-01   4.697366e+00   4.913380e-02
  3.980729e-01   4.664962e+00   4.861877e-02
  4.032194e-01   4.663793e+00   4.805925e-02
  4.083660e-01   4.634570e+00   4.705664e-02
  4.135126e-01   4.625358e+00   4.682720e-02
  4.186592e-01   4.548129e+00   4.666005e-02
  4.238057e-01   4.524253e+00   4.579681e-02
  4.289523e-01   4.577448e+00   4.556348e-02
  4.340989e-01   4.538652e+00   4.531139e-02
  4.392454e-01   4.429414e+00   4.487716e-02
  4.443920e-01   4.337730e+00   4.428585e-02
  4.495386e-01   4.440723e+00   4.412937e-02
  4.546851e-01   4.375650e+00   4.334192e-02
  4.598317e-01   4.382967e+00   4.329276e-02
  4.649783e-01   4.277381e+00   4.326452e-02
  4.701249e-01   4.269709e+00   4.363950e-02
  4.752714e-01   4.358196e+00   4.376789e-02
