Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.902322e+00   6.679069e-02
  1.819169e-01   6.008826e+00   6.544185e-02
  1.870635e-01   5.814034e+00   6.397498e-02
  1.922101e-01   5.964695e+00   6.167533e-02
  1.973566e-01   5.961173e+00   6.050909e-02
  2.025032e-01   5.872915e+00   5.892719e-02
  2.076498e-01   5.899886e+00   5.796999e-02
  2.127963e-01   5.839204e+00   5.691218e-02
  2.179429e-01   5.759005e+00   5.485445e-02
  2.230895e-01   5.698095e+00   5.352057e-02
  2.282360e-01   5.797933e+00   5.316585e-02
  2.333826e-01   5.775700e+00   5.221371e-02
  2.385292e-01   5.724995e+00   5.134428e-02
  2.436758e-01   5.692119e+00   5.021254e-02
  2.488223e-01   5.628612e+00   4.927916e-02
  2.539689e-01   5.613247e+00   4.832322e-02
  2.591155e-01   5.618207e+00   4.788803e-02
  2.642620e-01   5.601651e+00   4.688439e-02
  2.694086e-01   5.497673e+00   4.598638e-02
  2.745552e-01   5.499091e+00   4.538958e-02
  2.797018e-01   5.476789e+00   4.485516e-02
  2.848483e-01   5.401286e+00   4.403217e-02
  2.899949e-01   5.441330e+00   4.415737e-02
  2.951415e-01   5.287278e+00   4.448043e-02
  3.002880e-01   5.321401e+00   4.453251e-02
  3.054346e-01   5.362514e+00   4.460220e-02
  3.105812e-01   5.367066e+00   4.447957e-02
  3.157277e-01   5.274195e+00   4.411310e-02
  3.208743e-01   5.213503e+00   4.359258e-02
  3.260209e-01   5.252879e+00   4.384324e-02
  3.311675e-01   5.208223e+00   4.351237e-02
  3.363140e-01   5.167805e+00   4.355681e-02
  3.414606e-01   5.109111e+00   4.312244e-02
  3.466072e-01   5.150249e+00   4.280679e-02
  3.517537e-01   5.151845e+00   4.257028e-02
  3.569003e-01   5.013079e+00   4.141586e-02
  3.620469e-01   4.985069e+00   4.011280e-02
  3.671934e-01   4.988868e+00   3.947385e-02
  3.723400e-01   4.919750e+00   3.925408e-02
  3.774866e-01   4.840687e+00   3.837533e-02
  3.826332e-01   4.921258e+00   3.797340e-02
  3.877797e-01   4.851303e+00   3.769391e-02
  3.929263e-01   4.813284e+00   3.700547e-02
  3.980729e-01   4.779177e+00   3.659724e-02
  4.032194e-01   4.690570e+00   3.614208e-02
  4.083660e-01   4.692032e+00   3.541369e-02
  4.135126e-01   4.734378e+00   3.532137e-02
  4.186592e-01   4.652862e+00   3.511626e-02
  4.238057e-01   4.597059e+00   3.447430e-02
  4.289523e-01   4.626902e+00   3.419967e-02
  4.340989e-01   4.580713e+00   3.396700e-02
  4.392454e-01   4.549248e+00   3.372607e-02
  4.443920e-01   4.493070e+00   3.324921e-02
  4.495386e-01   4.482384e+00   3.303580e-02
  4.546851e-01   4.387243e+00   3.240821e-02
  4.598317e-01   4.419766e+00   3.241502e-02
  4.649783e-01   4.331410e+00   3.228562e-02
  4.701249e-01   4.328188e+00   3.261419e-02
  4.752714e-01   4.267160e+00   3.251678e-02
  4.804180e-01   4.249850e+00   3.285627e-02
  4.855646e-01   4.218002e+00   3.261028e-02
  4.907111e-01   4.203545e+00   3.272000e-02
  4.958577e-01   4.143028e+00   3.265593e-02
  5.010043e-01   4.137914e+00   3.256428e-02
  5.061509e-01   4.108045e+00   3.259123e-02
  5.112974e-01   4.059338e+00   3.284139e-02
  5.164440e-01   4.040925e+00   3.234147e-02
  5.215906e-01   4.016210e+00   3.222332e-02
  5.267371e-01   3.999133e+00   3.219742e-02
  5.318837e-01   3.933770e+00   3.206857e-02
  5.370303e-01   3.905693e+00   3.095268e-02
  5.421768e-01   3.890791e+00   3.070799e-02
  5.473234e-01   3.815714e+00   3.031085e-02
  5.524700e-01   3.780238e+00   2.970081e-02
  5.576166e-01   3.781030e+00   2.971869e-02
  5.627631e-01   3.747268e+00   2.936210e-02
  5.679097e-01   3.715269e+00   2.892020e-02
  5.730563e-01   3.712858e+00   2.875251e-02
  5.782028e-01   3.648754e+00   2.856522e-02
  5.833494e-01   3.617570e+00   2.805610e-02
  5.884960e-01   3.604577e+00   2.807477e-02
  5.936426e-01   3.530403e+00   2.800977e-02
  5.987891e-01   3.484485e+00   2.732448e-02
  6.039357e-01   3.516231e+00   2.741777e-02
  6.090823e-01   3.500051e+00   2.727585e-02
  6.142288e-01   3.384303e+00   2.675496e-02
  6.193754e-01   3.372500e+00   2.664507e-02
  6.245220e-01   3.333650e+00   2.653300e-02
  6.296685e-01   3.339084e+00   2.628364e-02
  6.348151e-01   3.283128e+00   2.620289e-02
  6.399617e-01   3.299653e+00   2.610154e-02
  6.451083e-01   3.240462e+00   2.576449e-02
  6.502548e-01   3.163723e+00   2.544128e-02
  6.554014e-01   3.141475e+00   2.541232e-02
  6.605480e-01   3.143690e+00   2.536560e-02
  6.656945e-01   3.074718e+00   2.559774e-02
  6.708411e-01   3.069149e+00   2.588211e-02
  6.759877e-01   3.069253e+00   2.575947e-02
  6.811343e-01   3.029827e+00   2.574056e-02
  6.862808e-01   2.975642e+00   2.568239e-02
  6.914274e-01   2.943853e+00   2.499569e-02
  6.965740e-01   2.936521e+00   2.470176e-02
  7.017205e-01   2.889137e+00   2.462449e-02
  7.068671e-01   2.834694e+00   2.421396e-02
  7.120137e-01   2.885813e+00   2.412284e-02
  7.171602e-01   2.815194e+00   2.404739e-02
  7.223068e-01   2.848722e+00   2.381632e-02
  7.274534e-01   2.760159e+00   2.349157e-02
  7.326000e-01   2.743102e+00   2.349799e-02
  7.377465e-01   2.721643e+00   2.310855e-02
  7.428931e-01   2.696861e+00   2.298408e-02
  7.480397e-01   2.706095e+00   2.296222e-02
  7.531862e-01   2.688253e+00   2.271298e-02
  7.583328e-01   2.595257e+00   2.261448e-02
  7.634794e-01   2.571754e+00   2.265457e-02
  7.686259e-01   2.571818e+00   2.240872e-02
  7.737725e-01   2.515516e+00   2.218856e-02
  7.789191e-01   2.458965e+00   2.221097e-02
  7.840657e-01   2.467740e+00   2.194034e-02
  7.892122e-01   2.410189e+00   2.178180e-02
  7.943588e-01   2.422529e+00   2.182666e-02
  7.995054e-01   2.375749e+00   2.156346e-02
  8.046519e-01   2.388861e+00   2.155480e-02
  8.097985e-01   2.344181e+00   2.146944e-02
  8.149451e-01   2.258327e+00   2.100677e-02
  8.200917e-01   2.265387e+00   2.102288e-02
  8.252382e-01   2.273935e+00   2.104205e-02
  8.303848e-01   2.213211e+00   2.069239e-02
  8.355314e-01   2.200553e+00   2.062001e-02
  8.406779e-01   2.187322e+00   2.057658e-02
  8.458245e-01   2.196071e+00   2.050117e-02
  8.509711e-01   2.115794e+00   2.033493e-02
  8.561176e-01   2.112185e+00   2.031101e-02
  8.612642e-01   2.062527e+00   2.014904e-02
  8.664108e-01   2.049248e+00   2.006194e-02
  8.715574e-01   2.006094e+00   2.000122e-02
  8.767039e-01   2.040481e+00   1.989382e-02
  8.818505e-01   1.997234e+00   1.979882e-02
  8.869971e-01   1.980866e+00   1.965321e-02
  8.921436e-01   1.968162e+00   1.974963e-02
  8.972902e-01   1.921591e+00   1.939519e-02
  9.024368e-01   1.924865e+00   1.951604e-02
  9.075834e-01   1.898369e+00   1.937431e-02
  9.127299e-01   1.857322e+00   1.912531e-02
  9.178765e-01   1.832191e+00   1.918622e-02
  9.230231e-01   1.818577e+00   1.950230e-02
  9.281696e-01   1.791874e+00   1.922691e-02
  9.333162e-01   1.761194e+00   1.937265e-02
  9.384628e-01   1.741273e+00   1.934029e-02
  9.436093e-01   1.741555e+00   1.917407e-02
  9.487559e-01   1.664080e+00   1.923958e-02
  9.539025e-01   1.709630e+00   1.936213e-02
  9.590491e-01   1.657359e+00   1.906315e-02
  9.641956e-01   1.664790e+00   1.916958e-02
  9.693422e-01   1.654435e+00   1.920955e-02
  9.744888e-01   1.607662e+00   1.898602e-02
  9.796353e-01   1.577097e+00   1.899041e-02
  9.847819e-01   1.583706e+00   1.903729e-02
  9.899285e-01   1.563157e+00   1.889725e-02
  9.950751e-01   1.516872e+00   1.890418e-02
  1.000222e+00   1.512112e+00   1.889472e-02
  1.005368e+00   1.536392e+00   1.893368e-02
  1.010515e+00   1.491874e+00   1.905599e-02
  1.015661e+00   1.470298e+00   1.918263e-02
  1.020808e+00   1.434443e+00   1.906590e-02
  1.025954e+00   1.426183e+00   1.912307e-02
  1.031101e+00   1.422890e+00   1.916536e-02
  1.036248e+00   1.374116e+00   1.908804e-02
  1.041394e+00   1.374993e+00   1.912894e-02
  1.046541e+00   1.361549e+00   1.910817e-02
  1.051687e+00   1.340994e+00   1.894333e-02
  1.056834e+00   1.352012e+00   1.901278e-02
  1.061980e+00   1.300325e+00   1.896866e-02
  1.067127e+00   1.286199e+00   1.886584e-02
  1.072274e+00   1.249269e+00   1.868569e-02
  1.077420e+00   1.258719e+00   1.879661e-02
  1.082567e+00   1.225300e+00   1.866192e-02
  1.087713e+00   1.215134e+00   1.860678e-02
  1.092860e+00   1.201704e+00   1.860986e-02
  1.098006e+00   1.182481e+00   1.849882e-02
  1.103153e+00   1.162320e+00   1.849187e-02
  1.108300e+00   1.146275e+00   1.846701e-02
  1.113446e+00   1.131133e+00   1.863522e-02
  1.118593e+00   1.115256e+00   1.860347e-02
  1.123739e+00   1.122025e+00   1.879269e-02
  1.128886e+00   1.073249e+00   1.864356e-02
  1.134032e+00   1.057637e+00   1.855846e-02
  1.139179e+00   1.087158e+00   1.867238e-02
  1.144326e+00   1.057606e+00   1.853467e-02
  1.149472e+00   1.032722e+00   1.865849e-02
  1.154619e+00   1.045907e+00   1.853647e-02
  1.159765e+00   1.016296e+00   1.851355e-02
  1.164912e+00   1.008807e+00   1.841382e-02
  1.170058e+00   9.762138e-01   1.841991e-02
  1.175205e+00   9.539941e-01   1.825224e-02
  1.180352e+00   9.581181e-01   1.809589e-02
  1.185498e+00   9.092206e-01   1.800528e-02
  1.190645e+00   9.400217e-01   1.797745e-02
  1.195791e+00   8.686915e-01   1.777105e-02
  1.200938e+00   8.998477e-01   1.773703e-02
  1.206084e+00   8.912163e-01   1.761345e-02
  1.211231e+00   8.304683e-01   1.742742e-02
  1.216378e+00   8.786367e-01   1.752245e-02
  1.221524e+00   8.157140e-01   1.732134e-02
  1.226671e+00   8.569364e-01   1.748436e-02
  1.231817e+00   8.115446e-01   1.782158e-02
