Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.716121e+00   1.105473e-01
  1.819169e-01   5.602693e+00   1.064915e-01
  1.870635e-01   5.729444e+00   1.040547e-01
  1.922101e-01   5.484699e+00   9.978467e-02
  1.973566e-01   5.747133e+00   9.698991e-02
  2.025032e-01   5.523191e+00   9.409895e-02
  2.076498e-01   5.523658e+00   9.249517e-02
  2.127963e-01   5.448385e+00   9.006925e-02
  2.179429e-01   5.427874e+00   8.644536e-02
  2.230895e-01   5.447185e+00   8.460284e-02
  2.282360e-01   5.490123e+00   8.299898e-02
  2.333826e-01   5.416527e+00   8.137090e-02
  2.385292e-01   5.345661e+00   8.012897e-02
  2.436758e-01   5.547591e+00   7.812333e-02
  2.488223e-01   5.322866e+00   7.649932e-02
  2.539689e-01   5.362953e+00   7.486548e-02
  2.591155e-01   5.335599e+00   7.374125e-02
  2.642620e-01   5.298816e+00   7.208889e-02
  2.694086e-01   5.394984e+00   7.078064e-02
  2.745552e-01   5.293371e+00   6.960163e-02
  2.797018e-01   5.221375e+00   6.860376e-02
  2.848483e-01   5.208551e+00   6.738760e-02
  2.899949e-01   5.142010e+00   6.733393e-02
  2.951415e-01   5.123677e+00   6.804626e-02
  3.002880e-01   5.067078e+00   6.794076e-02
  3.054346e-01   4.975015e+00   6.772503e-02
  3.105812e-01   5.087076e+00   6.758804e-02
  3.157277e-01   5.062159e+00   6.724176e-02
  3.208743e-01   5.131466e+00   6.634338e-02
  3.260209e-01   5.013129e+00   6.668676e-02
  3.311675e-01   4.927005e+00   6.607785e-02
  3.363140e-01   5.018645e+00   6.644076e-02
  3.414606e-01   4.962577e+00   6.570462e-02
  3.466072e-01   4.995262e+00   6.503223e-02
  3.517537e-01   4.897747e+00   6.468810e-02
  3.569003e-01   5.036738e+00   6.328848e-02
  3.620469e-01   5.011275e+00   6.131802e-02
  3.671934e-01   4.848964e+00   6.023749e-02
  3.723400e-01   4.784277e+00   5.996154e-02
  3.774866e-01   4.745422e+00   5.883891e-02
  3.826332e-01   4.711111e+00   5.793838e-02
  3.877797e-01   4.670469e+00   5.767781e-02
  3.929263e-01   4.584702e+00   5.670053e-02
  3.980729e-01   4.682379e+00   5.620794e-02
  4.032194e-01   4.638594e+00   5.550612e-02
  4.083660e-01   4.708801e+00   5.439559e-02
  4.135126e-01   4.552278e+00   5.409116e-02
  4.186592e-01   4.564318e+00   5.387572e-02
  4.238057e-01   4.558800e+00   5.300237e-02
  4.289523e-01   4.441321e+00   5.251602e-02
  4.340989e-01   4.463489e+00   5.228898e-02
  4.392454e-01   4.359272e+00   5.189310e-02
  4.443920e-01   4.426969e+00   5.129650e-02
  4.495386e-01   4.320269e+00   5.103076e-02
  4.546851e-01   4.329360e+00   5.023061e-02
  4.598317e-01   4.339411e+00   5.003016e-02
  4.649783e-01   4.129020e+00   5.004683e-02
  4.701249e-01   4.231892e+00   5.056224e-02
  4.752714e-01   4.274326e+00   5.059757e-02
  4.804180e-01   4.186741e+00   5.105892e-02
  4.855646e-01   4.154210e+00   5.070441e-02
  4.907111e-01   4.080600e+00   5.091840e-02
  4.958577e-01   4.100998e+00   5.087895e-02
  5.010043e-01   4.043582e+00   5.081113e-02
  5.061509e-01   4.090988e+00   5.094401e-02
  5.112974e-01   3.972683e+00   5.129242e-02
  5.164440e-01   3.979124e+00   5.047365e-02
  5.215906e-01   4.021965e+00   5.046360e-02
  5.267371e-01   3.902698e+00   5.042198e-02
  5.318837e-01   3.994498e+00   5.036898e-02
  5.370303e-01   3.885324e+00   4.867214e-02
  5.421768e-01   3.840568e+00   4.826168e-02
  5.473234e-01   3.836876e+00   4.781259e-02
  5.524700e-01   3.715935e+00   4.695059e-02
  5.576166e-01   3.762449e+00   4.695689e-02
  5.627631e-01   3.730097e+00   4.644789e-02
  5.679097e-01   3.759179e+00   4.583340e-02
  5.730563e-01   3.613918e+00   4.545235e-02
  5.782028e-01   3.638492e+00   4.529202e-02
  5.833494e-01   3.686339e+00   4.469124e-02
  5.884960e-01   3.521568e+00   4.453500e-02
  5.936426e-01   3.534501e+00   4.466852e-02
  5.987891e-01   3.447749e+00   4.364115e-02
  6.039357e-01   3.511494e+00   4.376679e-02
  6.090823e-01   3.531470e+00   4.358287e-02
  6.142288e-01   3.440638e+00   4.290896e-02
  6.193754e-01   3.375809e+00   4.270432e-02
  6.245220e-01   3.377209e+00   4.264422e-02
  6.296685e-01   3.292133e+00   4.220354e-02
  6.348151e-01   3.287760e+00   4.211525e-02
  6.399617e-01   3.264310e+00   4.207502e-02
  6.451083e-01   3.261371e+00   4.151320e-02
  6.502548e-01   3.229847e+00   4.126880e-02
  6.554014e-01   3.140802e+00   4.108909e-02
  6.605480e-01   3.175298e+00   4.119021e-02
  6.656945e-01   3.191135e+00   4.166837e-02
  6.708411e-01   3.148331e+00   4.204779e-02
  6.759877e-01   3.070924e+00   4.187504e-02
  6.811343e-01   3.085566e+00   4.191084e-02
  6.862808e-01   3.087529e+00   4.197098e-02
  6.914274e-01   2.949055e+00   4.084628e-02
  6.965740e-01   2.969312e+00   4.037586e-02
  7.017205e-01   2.915964e+00   4.039390e-02
