Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.660829e+00   1.971044e-01
  1.819169e-01   5.527485e+00   1.893986e-01
  1.870635e-01   5.641414e+00   1.848364e-01
  1.922101e-01   5.464842e+00   1.773014e-01
  1.973566e-01   5.477599e+00   1.718053e-01
  2.025032e-01   5.388589e+00   1.667418e-01
  2.076498e-01   5.458994e+00   1.641006e-01
  2.127963e-01   5.394694e+00   1.599739e-01
  2.179429e-01   5.386112e+00   1.535747e-01
  2.230895e-01   5.523018e+00   1.503780e-01
  2.282360e-01   5.365821e+00   1.471048e-01
  2.333826e-01   5.340700e+00   1.438602e-01
  2.385292e-01   5.187605e+00   1.419492e-01
  2.436758e-01   5.265869e+00   1.378320e-01
  2.488223e-01   5.092404e+00   1.349834e-01
  2.539689e-01   5.261873e+00   1.324527e-01
  2.591155e-01   5.207098e+00   1.303160e-01
  2.642620e-01   5.105153e+00   1.269958e-01
  2.694086e-01   5.038344e+00   1.245365e-01
  2.745552e-01   5.079687e+00   1.225490e-01
  2.797018e-01   5.119770e+00   1.210128e-01
  2.848483e-01   5.119689e+00   1.191265e-01
  2.899949e-01   4.970025e+00   1.186484e-01
  2.951415e-01   5.051285e+00   1.199532e-01
  3.002880e-01   5.060609e+00   1.199372e-01
  3.054346e-01   5.060354e+00   1.195243e-01
  3.105812e-01   4.816056e+00   1.189764e-01
  3.157277e-01   4.978962e+00   1.184849e-01
  3.208743e-01   5.002235e+00   1.168551e-01
  3.260209e-01   4.943837e+00   1.176173e-01
  3.311675e-01   4.894352e+00   1.166536e-01
  3.363140e-01   4.658664e+00   1.165773e-01
  3.414606e-01   4.842895e+00   1.156701e-01
  3.466072e-01   4.583124e+00   1.142494e-01
  3.517537e-01   4.647621e+00   1.135647e-01
  3.569003e-01   4.548910e+00   1.110357e-01
  3.620469e-01   4.783755e+00   1.079565e-01
  3.671934e-01   4.747463e+00   1.061397e-01
  3.723400e-01   4.711587e+00   1.056744e-01
  3.774866e-01   4.669441e+00   1.035785e-01
  3.826332e-01   4.478611e+00   1.017763e-01
  3.877797e-01   4.765800e+00   1.019574e-01
  3.929263e-01   4.493820e+00   9.991896e-02
  3.980729e-01   4.556609e+00   9.894369e-02
  4.032194e-01   4.706429e+00   9.829704e-02
  4.083660e-01   4.482406e+00   9.572013e-02
  4.135126e-01   4.479349e+00   9.535835e-02
  4.186592e-01   4.495262e+00   9.515779e-02
  4.238057e-01   4.765674e+00   9.403614e-02
  4.289523e-01   4.477135e+00   9.290399e-02
  4.340989e-01   4.315129e+00   9.220211e-02
  4.392454e-01   4.240297e+00   9.153807e-02
  4.443920e-01   4.194127e+00   9.040602e-02
  4.495386e-01   4.282785e+00   9.024529e-02
  4.546851e-01   4.208993e+00   8.866922e-02
  4.598317e-01   4.235355e+00   8.832781e-02
  4.649783e-01   4.150305e+00   8.870770e-02
  4.701249e-01   4.202534e+00   8.944173e-02
  4.752714e-01   4.115573e+00   8.931852e-02
  4.804180e-01   4.344605e+00   9.056074e-02
  4.855646e-01   4.281937e+00   8.988426e-02
  4.907111e-01   4.106500e+00   9.024673e-02
  4.958577e-01   4.016261e+00   8.998618e-02
  5.010043e-01   3.896322e+00   8.977384e-02
  5.061509e-01   4.043427e+00   9.015296e-02
  5.112974e-01   3.775580e+00   9.066695e-02
  5.164440e-01   3.912236e+00   8.951325e-02
  5.215906e-01   4.031387e+00   8.955962e-02
  5.267371e-01   3.802923e+00   8.930041e-02
  5.318837e-01   3.966514e+00   8.937495e-02
  5.370303e-01   3.730382e+00   8.600347e-02
  5.421768e-01   3.826714e+00   8.561971e-02
  5.473234e-01   3.776665e+00   8.476439e-02
  5.524700e-01   3.775564e+00   8.342476e-02
  5.576166e-01   3.729349e+00   8.309669e-02
  5.627631e-01   3.829869e+00   8.251619e-02
  5.679097e-01   3.677757e+00   8.121844e-02
  5.730563e-01   3.555378e+00   8.062918e-02
