Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   5.946063e+00   4.741914e-02
  1.819169e-01   5.951684e+00   4.613042e-02
  1.870635e-01   5.958100e+00   4.524338e-02
  1.922101e-01   5.870679e+00   4.336474e-02
  1.973566e-01   5.909768e+00   4.251151e-02
  2.025032e-01   5.779925e+00   4.127694e-02
  2.076498e-01   5.780662e+00   4.057761e-02
  2.127963e-01   5.784697e+00   3.983314e-02
  2.179429e-01   5.760997e+00   3.841329e-02
  2.230895e-01   5.779458e+00   3.757445e-02
  2.282360e-01   5.713971e+00   3.703698e-02
  2.333826e-01   5.703992e+00   3.624775e-02
  2.385292e-01   5.727764e+00   3.582321e-02
  2.436758e-01   5.650379e+00   3.487255e-02
  2.488223e-01   5.621607e+00   3.433249e-02
  2.539689e-01   5.557453e+00   3.357427e-02
  2.591155e-01   5.545345e+00   3.322749e-02
  2.642620e-01   5.523072e+00   3.251475e-02
  2.694086e-01   5.469902e+00   3.189392e-02
  2.745552e-01   5.407746e+00   3.139554e-02
  2.797018e-01   5.429190e+00   3.104807e-02
  2.848483e-01   5.422640e+00   3.056305e-02
  2.899949e-01   5.421687e+00   3.060193e-02
  2.951415e-01   5.370150e+00   3.093728e-02
  3.002880e-01   5.361752e+00   3.088063e-02
  3.054346e-01   5.303398e+00   3.084055e-02
  3.105812e-01   5.324099e+00   3.072468e-02
  3.157277e-01   5.272908e+00   3.061286e-02
  3.208743e-01   5.285030e+00   3.017297e-02
  3.260209e-01   5.196114e+00   3.030747e-02
  3.311675e-01   5.189108e+00   3.009037e-02
  3.363140e-01   5.154249e+00   3.013338e-02
  3.414606e-01   5.119312e+00   2.989210e-02
  3.466072e-01   5.010741e+00   2.951411e-02
  3.517537e-01   5.083376e+00   2.938416e-02
  3.569003e-01   5.012033e+00   2.870039e-02
  3.620469e-01   4.986694e+00   2.781635e-02
  3.671934e-01   4.921321e+00   2.731080e-02
  3.723400e-01   4.899045e+00   2.718596e-02
  3.774866e-01   4.842696e+00   2.661033e-02
  3.826332e-01   4.833339e+00   2.623983e-02
  3.877797e-01   4.811684e+00   2.611891e-02
  3.929263e-01   4.824327e+00   2.571576e-02
  3.980729e-01   4.761236e+00   2.537191e-02
  4.032194e-01   4.808755e+00   2.522197e-02
  4.083660e-01   4.710245e+00   2.460011e-02
  4.135126e-01   4.689407e+00   2.449365e-02
  4.186592e-01   4.653867e+00   2.437094e-02
  4.238057e-01   4.624597e+00   2.396041e-02
  4.289523e-01   4.585297e+00   2.371160e-02
  4.340989e-01   4.554456e+00   2.358764e-02
  4.392454e-01   4.518423e+00   2.342713e-02
  4.443920e-01   4.505882e+00   2.314150e-02
  4.495386e-01   4.486354e+00   2.297779e-02
  4.546851e-01   4.415979e+00   2.259220e-02
  4.598317e-01   4.412724e+00   2.251810e-02
  4.649783e-01   4.367808e+00   2.253434e-02
  4.701249e-01   4.341357e+00   2.270445e-02
  4.752714e-01   4.290250e+00   2.269971e-02
  4.804180e-01   4.260134e+00   2.290061e-02
  4.855646e-01   4.239401e+00   2.270174e-02
  4.907111e-01   4.201952e+00   2.282271e-02
  4.958577e-01   4.194007e+00   2.277843e-02
  5.010043e-01   4.136545e+00   2.271804e-02
  5.061509e-01   4.100067e+00   2.272848e-02
  5.112974e-01   4.064013e+00   2.291515e-02
