Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   4.359911e+00   5.245349e-01
  1.819169e-01   4.513281e+00   5.039585e-01
  1.870635e-01   5.257291e+00   4.916787e-01
  1.922101e-01   4.313589e+00   4.707526e-01
  1.973566e-01   5.090154e+00   4.587117e-01
  2.025032e-01   5.102221e+00   4.428794e-01
  2.076498e-01   5.428090e+00   4.368466e-01
  2.127963e-01   5.124048e+00   4.246539e-01
  2.179429e-01   4.147553e+00   4.048977e-01
  2.230895e-01   4.688161e+00   3.983704e-01
  2.282360e-01   4.774634e+00   3.903754e-01
  2.333826e-01   5.023750e+00   3.818485e-01
  2.385292e-01   5.172204e+00   3.773765e-01
  2.436758e-01   5.108369e+00   3.667032e-01
  2.488223e-01   4.821002e+00   3.574062e-01
  2.539689e-01   5.053005e+00   3.510713e-01
  2.591155e-01   4.227551e+00   3.432111e-01
  2.642620e-01   4.981191e+00   3.361053e-01
  2.694086e-01   5.333626e+00   3.317127e-01
  2.745552e-01   4.047172e+00   3.232647e-01
  2.797018e-01   4.524477e+00   3.193037e-01
  2.848483e-01   4.861941e+00   3.147078e-01
  2.899949e-01   4.655988e+00   3.142950e-01
  2.951415e-01   4.675410e+00   3.166612e-01
  3.002880e-01   4.024136e+00   3.157840e-01
  3.054346e-01   4.222466e+00   3.152633e-01
  3.105812e-01   4.635450e+00   3.156350e-01
  3.157277e-01   4.407614e+00   3.133160e-01
  3.208743e-01   4.740854e+00   3.103554e-01
  3.260209e-01   4.642352e+00   3.110357e-01
  3.311675e-01   4.734915e+00   3.090320e-01
  3.363140e-01   4.433558e+00   3.089266e-01
  3.414606e-01   5.112923e+00   3.078365e-01
  3.466072e-01   4.459409e+00   3.031815e-01
  3.517537e-01   4.136811e+00   2.996915e-01
  3.569003e-01   4.303539e+00   2.941744e-01
  3.620469e-01   4.838720e+00   2.860956e-01
  3.671934e-01   4.741781e+00   2.814207e-01
  3.723400e-01   4.129228e+00   2.788999e-01
  3.774866e-01   4.005279e+00   2.735786e-01
  3.826332e-01   4.748218e+00   2.711512e-01
  3.877797e-01   4.372750e+00   2.699694e-01
  3.929263e-01   4.671092e+00   2.652730e-01
  3.980729e-01   3.960179e+00   2.613515e-01
  4.032194e-01   4.290513e+00   2.599209e-01
  4.083660e-01   4.590520e+00   2.544642e-01
  4.135126e-01   4.047383e+00   2.525629e-01
  4.186592e-01   3.911301e+00   2.512591e-01
  4.238057e-01   4.494992e+00   2.490923e-01
  4.289523e-01   4.184494e+00   2.456448e-01
  4.340989e-01   4.558074e+00   2.457244e-01
  4.392454e-01   4.359219e+00   2.440897e-01
  4.443920e-01   4.282386e+00   2.409890e-01
  4.495386e-01   4.106805e+00   2.386137e-01
  4.546851e-01   3.831733e+00   2.350932e-01
  4.598317e-01   3.973706e+00   2.346446e-01
  4.649783e-01   3.656312e+00   2.345467e-01
  4.701249e-01   3.929332e+00   2.365638e-01
  4.752714e-01   4.143025e+00   2.379015e-01
  4.804180e-01   3.892450e+00   2.398042e-01
  4.855646e-01   4.062659e+00   2.389602e-01
  4.907111e-01   3.744600e+00   2.390481e-01
  4.958577e-01   3.905069e+00   2.392551e-01
  5.010043e-01   3.998780e+00   2.390042e-01
  5.061509e-01   4.250385e+00   2.395667e-01
  5.112974e-01   3.612004e+00   2.407141e-01
  5.164440e-01   4.052885e+00   2.382876e-01
  5.215906e-01   3.474403e+00   2.367468e-01
  5.267371e-01   3.643399e+00   2.375859e-01
  5.318837e-01   3.646036e+00   2.377616e-01
  5.370303e-01   3.417563e+00   2.288668e-01
  5.421768e-01   3.925022e+00   2.281415e-01
  5.473234e-01   3.474753e+00   2.254096e-01
  5.524700e-01   3.443620e+00   2.213402e-01
  5.576166e-01   3.582910e+00   2.217122e-01
  5.627631e-01   3.397758e+00   2.189751e-01
  5.679097e-01   3.627638e+00   2.163034e-01
  5.730563e-01   3.571741e+00   2.153741e-01
  5.782028e-01   3.643320e+00   2.146892e-01
  5.833494e-01   3.856761e+00   2.118929e-01
  5.884960e-01   3.467574e+00   2.105922e-01
  5.936426e-01   3.496338e+00   2.114841e-01
  5.987891e-01   3.422244e+00   2.069532e-01
  6.039357e-01   3.476480e+00   2.074850e-01
  6.090823e-01   3.582519e+00   2.070865e-01
  6.142288e-01   3.270626e+00   2.035549e-01
  6.193754e-01   3.445425e+00   2.027169e-01
  6.245220e-01   3.496092e+00   2.030552e-01
  6.296685e-01   3.786317e+00   2.017277e-01
  6.348151e-01   3.034245e+00   2.001413e-01
  6.399617e-01   2.830741e+00   1.992452e-01
  6.451083e-01   3.046074e+00   1.975669e-01
  6.502548e-01   2.979683e+00   1.962213e-01
  6.554014e-01   3.381125e+00   1.961974e-01
  6.605480e-01   3.302902e+00   1.959774e-01
  6.656945e-01   3.039148e+00   1.984280e-01
  6.708411e-01   3.125683e+00   2.008000e-01
  6.759877e-01   3.012199e+00   1.995310e-01
  6.811343e-01   3.164277e+00   1.999389e-01
  6.862808e-01   3.017709e+00   1.998707e-01
  6.914274e-01   3.012253e+00   1.955371e-01
  6.965740e-01   2.903595e+00   1.930861e-01
  7.017205e-01   2.713473e+00   1.923726e-01
  7.068671e-01   3.122645e+00   1.908453e-01
  7.120137e-01   2.966959e+00   1.889430e-01
  7.171602e-01   2.938731e+00   1.894608e-01
  7.223068e-01   2.341318e+00   1.861304e-01
  7.274534e-01   2.540853e+00   1.848841e-01
  7.326000e-01   2.986190e+00   1.857771e-01
  7.377465e-01   2.759628e+00   1.830628e-01
  7.428931e-01   2.754253e+00   1.816511e-01
  7.480397e-01   2.459071e+00   1.811955e-01
  7.531862e-01   2.645812e+00   1.797442e-01
  7.583328e-01   2.749519e+00   1.801516e-01
  7.634794e-01   2.573605e+00   1.804982e-01
  7.686259e-01   2.676203e+00   1.790300e-01
  7.737725e-01   2.643524e+00   1.777107e-01
  7.789191e-01   2.394628e+00   1.779072e-01
  7.840657e-01   2.609701e+00   1.756888e-01
  7.892122e-01   2.268162e+00   1.752630e-01
  7.943588e-01   2.468499e+00   1.758757e-01
  7.995054e-01   2.138246e+00   1.738512e-01
  8.046519e-01   2.556069e+00   1.739570e-01
  8.097985e-01   2.382181e+00   1.734413e-01
  8.149451e-01   2.523841e+00   1.713163e-01
  8.200917e-01   2.099900e+00   1.707781e-01
  8.252382e-01   2.133023e+00   1.707893e-01
  8.303848e-01   2.465088e+00   1.691253e-01
  8.355314e-01   2.306492e+00   1.685596e-01
  8.406779e-01   2.502306e+00   1.683561e-01
  8.458245e-01   2.058016e+00   1.670570e-01
  8.509711e-01   2.143829e+00   1.668641e-01
  8.561176e-01   2.349018e+00   1.668282e-01
  8.612642e-01   2.121889e+00   1.660467e-01
  8.664108e-01   2.425169e+00   1.657397e-01
  8.715574e-01   2.216941e+00   1.660251e-01
  8.767039e-01   2.159139e+00   1.640288e-01
  8.818505e-01   2.114792e+00   1.635937e-01
  8.869971e-01   1.954109e+00   1.627903e-01
  8.921436e-01   2.000901e+00   1.636202e-01
  8.972902e-01   2.217436e+00   1.616988e-01
  9.024368e-01   2.199760e+00   1.628781e-01
  9.075834e-01   1.917272e+00   1.613881e-01
  9.127299e-01   2.014628e+00   1.598022e-01
  9.178765e-01   1.699578e+00   1.604404e-01
  9.230231e-01   1.541261e+00   1.627914e-01
  9.281696e-01   1.734961e+00   1.613282e-01
  9.333162e-01   2.001816e+00   1.630591e-01
  9.384628e-01   1.596480e+00   1.629704e-01
  9.436093e-01   1.848132e+00   1.614233e-01
  9.487559e-01   1.908756e+00   1.633107e-01
  9.539025e-01   1.941251e+00   1.637604e-01
  9.590491e-01   1.892147e+00   1.618388e-01
